name,poster,quote,ranking,reviews_num,score
冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,松鼠才是角儿。,168,288222,8.4
朗读者,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,169,290760,8.5
香水,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg,一个单凭体香达到高潮的男人。,170,292245,8.4
罗生门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg,人生的N种可能性。,171,134041,8.7
血战钢锯岭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,172,339815,8.7
爆裂鼓手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,173,254188,8.6
未麻的部屋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,好的剧本是，就算你猜到了结局也猜不到全部。,174,105935,8.8
一次别离,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg,只有有信仰的人才能说出事实真相。,175,139888,8.7
追随,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150103377.jpg,诺兰的牛逼来源于内心散发出的恐惧。,176,86585,8.9
撞车,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg,天使与魔鬼的冲撞。,177,182594,8.6
可可西里,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,坚硬的信仰。,178,136511,8.7
战争之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg,做一颗让别人需要你的棋子。,179,183729,8.5
恐怖游轮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,不要企图在重复中寻找已经失去的爱。,180,348037,8.3
地球上的星星,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,天使保护事件始末。,181,90945,8.8
达拉斯买家俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,Jared Leto的腿比女人还美！,182,178789,8.7
被解救的姜戈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,热血沸腾，那个低俗、性感的无耻混蛋又来了。,183,273600,8.6
梦之安魂曲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg,一场没有春天的噩梦。,184,117773,8.7
小萝莉的猴神大叔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,,185,166788,8.6
牯岭街少年杀人事件,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,弱者送给弱者的一刀。,186,113658,8.7
谍影重重,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,187,202166,8.5
魔女宅急便,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,188,206968,8.5
房间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,189,167230,8.8
谍影重重2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,谁说王家卫镜头很晃？,190,167874,8.6
头脑特工队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,愿我们都不用长大，每一座城堡都能永远存在。,191,242907,8.7
惊魂记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,故事的反转与反转，分裂电影的始祖。,192,88617,8.9
